epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.274,0.96261,3.55481,1.14355,0.02871,0.83137,0.33828,0.24303,0.64322,3.92502,1.02175,0.00011424,0.00011424,0.00011424
2,217.501,0.9927,2.55754,1.18295,0.04354,0.89731,0.38349,0.29154,0.7794,3.4684,1.09734,0.000188967,0.000188967,0.000188967
3,326.189,0.96774,2.00755,1.17596,0.81995,0.20754,0.46994,0.35748,0.76804,2.90736,1.12156,0.000215628,0.000215628,0.000215628
4,444.486,0.93734,1.79031,1.15315,0.85757,0.22405,0.56075,0.46067,0.75107,2.77226,1.11705,0.000194222,0.000194222,0.000194222
5,563.048,0.94075,1.63135,1.14836,0.72186,0.36198,0.64481,0.51417,0.71341,2.32715,1.1085,0.00012475,0.00012475,0.00012475
