epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.656,0.96252,3.55485,1.14353,0.02801,0.79566,0.32857,0.23947,0.64746,3.92408,1.02555,0.00011424,0.00011424,0.00011424
2,222.983,0.99941,2.57303,1.18206,0.04336,0.90071,0.37705,0.28344,0.77425,3.46814,1.0957,0.000188967,0.000188967,0.000188967
3,342.752,0.9618,2.01403,1.17098,0.80952,0.23667,0.47367,0.36613,0.72861,2.87536,1.0954,0.000215628,0.000215628,0.000215628
4,480.322,0.93047,1.78789,1.14908,0.83511,0.256,0.54574,0.45557,0.72721,2.73008,1.10052,0.000194222,0.000194222,0.000194222
5,610.85,0.93539,1.63367,1.15067,0.70679,0.418,0.61323,0.49681,0.74193,2.32691,1.11694,0.00012475,0.00012475,0.00012475
